,1. open,2. high,3. low,4. close,5. volume,Symbol
2023-05-17,159.79,160.055,157.77,158.99,6840687.0,JNJ
2023-05-16,159.06,160.25,158.53,159.34,5599505.0,JNJ
2023-05-15,160.8,161.03,158.94,159.55,5104486.0,JNJ
2023-05-12,161.36,161.56,160.01,160.78,3904327.0,JNJ
2023-05-11,161.83,162.19,159.3901,160.99,5867620.0,JNJ
2023-05-10,161.2,161.97,160.06,161.65,6756629.0,JNJ
2023-05-09,161.75,162.13,160.79,161.05,5520642.0,JNJ
2023-05-08,161.99,162.57,161.34,162.31,4994929.0,JNJ
2023-05-05,162.84,163.13,161.69,162.68,5194461.0,JNJ
2023-05-04,162.68,162.9,161.25,162.13,5127992.0,JNJ
2023-05-03,165.55,166.18,162.51,162.87,5937170.0,JNJ
2023-05-02,164.34,165.48,163.555,165.03,7541724.0,JNJ
2023-05-01,163.6,164.298,162.24,163.6,4893426.0,JNJ
2023-04-28,162.81,163.76,162.5566,163.7,6024864.0,JNJ
2023-04-27,162.9,163.4067,162.13,163.0,5739700.0,JNJ
2023-04-26,164.09,164.39,162.24,162.62,5442652.0,JNJ
2023-04-25,164.31,165.35,164.155,165.18,6263103.0,JNJ
2023-04-24,162.69,163.805,161.87,163.68,5278892.0,JNJ
2023-04-21,164.44,164.97,161.97,162.69,7014214.0,JNJ
2023-04-20,162.43,163.82,160.96,163.58,9498768.0,JNJ
2023-04-19,161.99,162.68,161.17,162.53,6752006.0,JNJ
2023-04-18,164.25,164.69,159.65,161.01,14571485.0,JNJ
2023-04-17,165.735,166.24,164.94,165.67,8034884.0,JNJ
2023-04-14,165.97,166.115,164.06,165.84,7225127.0,JNJ
2023-04-13,164.18,166.33,163.805,166.11,5640617.0,JNJ
2023-04-12,163.94,164.84,163.1,163.92,5764240.0,JNJ
2023-04-11,164.42,165.28,164.0401,164.27,5903824.0,JNJ
2023-04-10,164.63,164.84,163.64,164.32,5353951.0,JNJ
2023-04-06,165.99,167.23,164.8,165.15,9615407.0,JNJ
2023-04-05,164.37,165.66,162.76,165.61,16704181.0,JNJ
2023-04-04,156.97,158.97,156.59,158.49,8314527.0,JNJ
2023-04-03,154.95,157.01,153.94,156.85,6841888.0,JNJ
2023-03-31,153.79,155.19,153.24,155.0,9890047.0,JNJ
2023-03-30,153.58,153.8,152.81,153.43,4555905.0,JNJ
2023-03-29,152.24,153.38,152.07,153.31,6012030.0,JNJ
2023-03-28,152.39,153.45,151.725,151.82,6115293.0,JNJ
2023-03-27,154.2,154.54,153.11,153.3,6772282.0,JNJ
2023-03-24,151.48,152.76,150.83,152.65,5696845.0,JNJ
2023-03-23,151.175,151.69,150.11,151.13,9051510.0,JNJ
2023-03-22,153.85,154.06,151.03,151.05,7943526.0,JNJ
2023-03-21,154.0,154.13,152.17,153.89,8376843.0,JNJ
2023-03-20,152.47,154.075,152.38,153.89,7128958.0,JNJ
2023-03-17,154.48,154.9499,152.3,152.38,20540668.0,JNJ
2023-03-16,153.45,154.365,152.605,154.03,7606079.0,JNJ
2023-03-15,152.84,154.89,152.5259,154.35,7757686.0,JNJ
